Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38104242,Shiver,Suzanne Wright,"Wright, Suzanne",,"=""""","=""""",0,4.06,Amazon Digital Services,Kindle Edition,340,2018,2018,,2022/08/09,to-read,to-read (#105),to-read,,,,0,0
53608355,The Favor,Suzanne Wright,"Wright, Suzanne",,"=""""","=""""",5,4.02,,Kindle Edition,388,2020,2020,,2021/12/26,,,read,,,,1,0
43582648,"One Moment Please (Wait With Me, #3)",Amy Daws,"Daws, Amy",,"=""""","=""""",0,4.06,,Kindle Edition,307,2020,2020,,2022/07/26,to-read,to-read (#104),to-read,,,,0,0
11925514,"Code Name Verity (Code Name Verity, #1)",Elizabeth Wein,"Wein, Elizabeth",,"=""1405258217""","=""9781405258210""",0,4.01,Egmont Press,Paperback,452,2012,2012,,2022/07/21,to-read,to-read (#103),to-read,,,,0,0
38350873,The Worst Best Man,Lucy Score,"Score, Lucy",,"=""1945631163""","=""""",4,4.16,That's What She Said Publishing,Kindle Edition,448,2018,2018,,2022/07/04,,,read,,,,1,0
22619255,"Just Not Mine (Escape to New Zealand, #6)",Rosalind  James,"James, Rosalind",,"=""098876198X""","=""9780988761988""",0,4.24,Rosalind James,Paperback,366,2014,2014,,2022/07/04,to-read,to-read (#102),to-read,,,,0,0
42832396,River Wild,Samantha Towle,"Towle, Samantha",,"=""""","=""""",4,4.04,,ebook,301,2019,2019,,2022/07/02,,,read,,,,1,0
29562692,"Sway (Landry Family, #1)",Adriana Locke,"Locke, Adriana",,"=""1533240515""","=""9781533240514""",0,4.15,Createspace Independent Publishing Platform,Paperback,340,2016,2016,,2022/07/02,to-read,to-read (#101),to-read,,,,0,0
25170969,"Cage (Corps Security, #2)",Harper Sloan,"Sloan, Harper",,"=""""","=""""",0,4.27,,,283,,2013,,2022/07/02,to-read,to-read (#100),to-read,,,,0,0
8599748,Trust in Advertising,Victoria Michaels,"Michaels, Victoria",,"=""1936305291""","=""9781936305292""",0,3.89,Omnific Publishing ,Paperback,452,2010,2010,,2022/07/02,to-read,to-read (#99),to-read,,,,0,0
60095992,"Last on the List (Wait With Me, #5)",Amy Daws,"Daws, Amy",,"=""""","=""""",2,4.37,"Amy Daws, LLC",Kindle Edition,362,2022,2022,,2022/06/26,,,read,,,,1,0
59686781,The Dirty Truth,Winter Renshaw,"Renshaw, Winter",,"=""154203826X""","=""9781542038263""",4,3.96,Montlake,Kindle Edition,286,2022,2022,,2022/06/25,,,read,,,,1,0
20613920,Under Locke,Mariana Zapata,"Zapata, Mariana",,"=""""","=""""",4,3.94,,Kindle Edition,497,2014,2014,,2021/03/14,,,read,,,,1,0
60060431,"Things We Never Got Over (Knockemout, #1)",Lucy Score,"Score, Lucy",,"=""1945631848""","=""9781945631849""",4,4.20,That's What She Said Publishing,Kindle Edition,572,2022,2022,,2022/05/11,,,read,,,,1,0
31140847,Bossman,Vi Keeland,"Keeland, Vi",,"=""1942215460""","=""""",0,4.15,,Kindle Edition,316,2016,2016,,2022/05/22,to-read,to-read (#98),to-read,,,,0,0
59627529,"The Secret (Winslow Brothers, #3)",Max Monroe,"Monroe, Max",,"=""""","=""""",0,4.20,Max Monroe LLC,Kindle Edition,380,2022,2022,,2022/05/21,to-read,to-read (#97),to-read,,,,0,0
23337872,"Beard Science (Winston Brothers, #3)",Penny Reid,"Reid, Penny",,"=""1942874243""","=""9781942874249""",3,4.40,Cipher-Naught,ebook,384,2016,2016,,2022/05/08,dnf,dnf (#4),read,,,,1,0
23204215,"The Game Plan (Game On, #3)",Kristen Callihan,"Callihan, Kristen",,"=""""","=""""",0,4.08,,Kindle Edition,323,2015,2015,,2022/05/11,to-read,to-read (#96),to-read,,,,0,0
52739584,"Fresh Meet (Kings of the Water, #2)",Jasmin Miller,"Miller, Jasmin",,"=""""","=""""",0,3.79,,Kindle Edition,336,2020,2020,,2022/05/11,to-read,to-read (#95),to-read,,,,0,0
43701279,One Percent of You,Michelle  Gross,"Gross, Michelle",,"=""""","=""""",0,4.06,,Kindle Edition,341,2019,2019,,2022/05/11,to-read,to-read (#94),to-read,,,,0,0
13412515,"Law Man (Dream Man, #3)",Kristen Ashley,"Ashley, Kristen",,"=""""","=""""",0,4.30,,Kindle Edition,535,2012,2012,,2022/05/11,to-read,to-read (#93),to-read,,,,0,0
55659629,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,"Bailey, Tessa",,"=""0063045656""","=""9780063045651""",2,4.00,Avon,Paperback,385,2021,2021,,2022/04/23,dnf,dnf (#3),read,,,,1,0
